-- Initial setup, no MISO

0.482620875000000,SPI,MOSI: '15' (0x0F);  MISO: '0' (0x00)
0.482690708333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.482768833333333,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
0.482833791666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.482917291666667,SPI,MOSI: '17' (0x11);  MISO: '0' (0x00)
0.482982750000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.483066250000000,SPI,MOSI: '18' (0x12);  MISO: ' ' (0x20)
0.483135083333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.483213208333333,SPI,MOSI: '19' (0x13);  MISO: ' ' (0x20)
0.483279125000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.483362666666667,SPI,MOSI: '20' (0x14);  MISO: ' ' (0x20)
0.483428083333333,SPI,MOSI: '31' (0x1F);  MISO: '0' (0x00)
0.483512083333333,SPI,MOSI: '2' (0x02);  MISO: ' ' (0x20)
0.483580416666667,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.483659041666667,SPI,MOSI: '3' (0x03);  MISO: ' ' (0x20)
0.483724500000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.483802625000000,SPI,MOSI: '0' (0x00);  MISO: ' ' (0x20)
0.483871000000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.483955958333333,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.484021375000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.484107333333333,SPI,MOSI: '22' (0x16);  MISO: '0' (0x00)
0.484177166666667,SPI,MOSI: '192' (0xC0);  MISO: '0' (0x00)
0.484255791666667,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.484324166666667,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.484402750000000,SPI,MOSI: A (0x41);  MISO: '0' (0x00)
0.484471625000000,SPI,MOSI: \t (0x09);  MISO: '0' (0x00)
0.484550708333333,SPI,MOSI: B (0x42);  MISO: '0' (0x00)
0.484619583333333,SPI,MOSI: u (0x75);  MISO: '0' (0x00)
0.484700166666667,SPI,MOSI: C (0x43);  MISO: '0' (0x00)
0.484769500000000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.484848125000000,SPI,MOSI: D (0x44);  MISO: '0' (0x00)
0.484916958333333,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
