Time [s], Analyzer Name, Decoded Protocol Result
1.000974937500000,SPI,MOSI: '4' (0x04);  MISO: '0' (0x00)
1.001039875000000,SPI,MOSI: '7' (0x07);  MISO: '0' (0x00)
1.002087562500000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
1.002155937500000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
1.002240937500000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
1.002435250000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
1.002522187500000,SPI,MOSI: '7' (0x07);  MISO: '0' (0x00)
1.002591562500000,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
1.002671875000000,SPI,MOSI: '14' (0x0E);  MISO: '0' (0x00)
1.002741187500000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
1.002946812500000,SPI,MOSI: '15' (0x0F);  MISO: '0' (0x00)
1.003016625000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
1.003094750000000,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
1.003163125000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
1.003243187500000,SPI,MOSI: '17' (0x11);  MISO: ' ' (0x20)
1.003437562500000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
1.003521062500000,SPI,MOSI: '18' (0x12);  MISO: ' ' (0x20)
1.003586500000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
1.003664625000000,SPI,MOSI: '19' (0x13);  MISO: ' ' (0x20)
1.003733937500000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
1.003942937500000,SPI,MOSI: '20' (0x14);  MISO: ' ' (0x20)
1.004008375000000,SPI,MOSI: '31' (0x1F);  MISO: '0' (0x00)
1.004092375000000,SPI,MOSI: '2' (0x02);  MISO: ' ' (0x20)
1.004157312500000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
1.004235937500000,SPI,MOSI: '3' (0x03);  MISO: ' ' (0x20)
1.004430312500000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
1.004508437500000,SPI,MOSI: '0' (0x00);  MISO: ' ' (0x20)
1.004576812500000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
1.004661750000000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
1.004727187500000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
1.004938625000000,SPI,MOSI: '22' (0x16);  MISO: '0' (0x00)
1.005008437500000,SPI,MOSI: '192' (0xC0);  MISO: '0' (0x00)
1.005087062500000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
1.005155437500000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
1.005234062500000,SPI,MOSI: A (0x41);  MISO: '0' (0x00)
